video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7533775283476909325,2025-08-02T14:00:00,29,US,13700,80,173,243100,in fairness the Happy Gilmore swing is hard #HappyGilmore2,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533751392230477111,2025-08-02T00:00:00,19,US,279900,4459,545,2100000,Benito and Marcello on set of #HappyGilmore2,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533743030709275917,2025-08-01T23:00:00,50,US,36500,1672,415,598600,#MyOxfordYear is now playing,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533718288392654094,2025-08-01T22:00:00,85,US,19800,336,127,295100,Triple H told Tiffany Stratton to apologize after she went too far during this promo with Charlotte Flair 😨 #WWE: Unreal #WWEonNetflix,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533697373810232589,2025-08-01T21:00:00,32,US,89600,7611,2293,458800,THANK YOU BEYONCÉ,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533678333771484471,2025-08-01T18:00:10,59,US,289000,17100,1169,2000000,"the deeper we go, the brighter they shine. Stay GOLDEN 💛 #KpopDemonHunters Thanks Bobby Chiu (@aninfinitestory)!",False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533656174659505421,2025-08-01T17:00:00,18,US,3389,67,83,114500,imagine this was your meet-cute with your future spouse. perfect match season 3 is now playing!,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533421682334190862,2025-08-01T15:00:00,51,US,270000,7110,1609,17600000,"grab some cake and watch #SofiaCarson and #CoreyMylchreest in #MyOxfordYear, now playing 🎂",True,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533419650630159671,2025-08-01T14:00:00,27,US,2883,48,96,81500,the only way to go is up #HappyGilmore2,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533428139238624526,2025-08-01T13:00:00,30,US,70800,4922,504,763200,5 days until chaos is restored. #WednesdayNetflix Season 2 Part 1 drops August 6th,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533428380373486862,2025-08-01T03:00:00,16,PH,2763,27,595,110700,Just taaaap it in! 🕶️⛳️ #HappyGilmore2 #austok,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533386869229260046,2025-07-31T23:09:11,10,US,26900,1922,1059,258000,Replying to @maddlusional i heard you wanted KPop Demon Hunter icons?? #kpopdemonhunters ,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533330231311027470,2025-07-31T22:00:00,24,US,581700,15000,9101,22500000,the honmoon is sealed ❤️ #KPopDemonHunters,True,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533324680560725303,2025-07-31T21:00:00,175,US,1564,9,75,66700,love to see the journey these bands took to get to where they are today #buildingtheband,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533306226604608781,2025-07-31T20:00:00,15,US,135700,3156,844,858600,midnight til morning soda pop cover WHEN #KPopDemonHunters,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533307317052329229,2025-07-31T18:00:06,16,US,1623,19,123,66500,Travis Scott was ready to quit the rap business for WWE after being involved in a WrestleMania main event 😂 WWE: Unreal is now playing.,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533265657375231245,2025-07-31T17:00:00,59,US,38000,1170,204,411200,@mscharlotteflair takes on the Netflix roller coaster interview   🎢: @knottsberryfarmofficial  💬: @kinseywolanski,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533254733537004813,2025-07-31T16:00:00,66,US,4830,54,146,111700,you can't escape the alligator in #HappyGilmore2@nickpainting,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533248115730566413,2025-07-31T15:00:00,27,US,47500,2093,284,460800,Adam Sandler gifts a gold jacket to Christopher McDonald #HappyGilmore2,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533074277373955341,2025-07-31T14:00:00,104,US,1392,97,84,45600,"the creator of bojack horseman is BACK with another comedy series that will make you laugh AND cry. Already renewed for season 2, #LongStoryShort arrives on Aug 22.",False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533065423684750606,2025-07-31T12:00:00,90,US,13400,526,220,291400,Nobody said confronting your husband’s pregnant mistress would be easy. #Leanne is now playing!,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533156736589417783,2025-07-31T09:00:00,22,PH,3302,52,138,93700,Warning: side effects may include delusional confidence and grass stains #HappyGilmore2 #austok,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533037006297779469,2025-07-31T00:31:21,12,PH,34000,967,288,421000,"I can't Hyde this secret anymore.... Hunter Doohan is coming to Wednesday Island in Sydney, Australia! Link in bio for tickets - Hurry apply before August 3 AEST.",True,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7533014189250563341,2025-07-31T00:00:00,34,US,113900,2043,828,886800,a window into the wednesday global premiere! #wednesdaynetflix @wednesdaynetflix,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
